,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
275,simfix_2,simfix_2,bears,traccar-traccar_274558862-274871026,4737.147999999997,5.875,0,4362.262999999996,226.94800000000004,6022,241,0,NO,NO,,NO,NO,NO
276,simfix_2,simfix_3,bears,traccar-traccar_274558862-274871026,5117.053999999997,5.875,0,4362.262999999996,606.8539999999998,6022,66757,0,NO,NO,,NO,NO,NO
277,tbar_2,tbar_1,bears,traccar-traccar_274558862-274871026,9247.246999999998,5.734999999999999,0,845.7869999999998,8390.440999999999,750,7686,0,NO,NO,,YES,NO,NO
278,tbar_2,tbar_2,bears,traccar-traccar_274558862-274871026,1704.5379999999977,5.734999999999999,0,1088.415999999999,605.1029999999997,997,516,0,NO,NO,,YES,NO,NO
279,tbar_2,tbar_3,bears,traccar-traccar_274558862-274871026,9688.064,5.734999999999999,0,845.7869999999998,8831.258000000002,750,106091,0,NO,NO,,YES,NO,NO
280,dynamoth_2,dynamoth_2,bears,traccar-traccar_274558862-274871026,53.95999999999998,5.409,53.95999999999998,0,0,0,0,0,NO,NO,,NO,-,NO
281,nopol_2,nopol_2,bears,traccar-traccar_275432141-275689407,40.86100000000001,6.89,40.86100000000001,0,0,0,0,0,NO,NO,,NO,-,NO
282,simfix_2,simfix_1,bears,traccar-traccar_275432141-275689407,940.9330000000002,7.372,0,626.5670000000002,273.76399999999995,612,21913,0,NO,NO,,NO,NO,NO
283,simfix_2,simfix_2,bears,traccar-traccar_275432141-275689407,873.4970000000003,7.372,0,626.5670000000002,206.32800000000003,612,222,0,NO,NO,,NO,NO,NO
284,simfix_2,simfix_3,bears,traccar-traccar_275432141-275689407,1230.8950000000004,7.372,0,626.5670000000002,563.7260000000002,612,61494,0,NO,NO,,NO,NO,NO
285,tbar_2,tbar_1,bears,traccar-traccar_275432141-275689407,8561.356,7.255,0,426.17499999999995,8129.267000000002,463,7529,0,NO,NO,,YES,NO,NO
